# TEST CONFIGURATION BEGIN
# File Stream: filename: poker.data.csv  -  n_targets: 1
# [M0] KNN: - n_neighbors: 10 - max_window_size: 100 - leaf_size: 30
# [M1] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: result_poker.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_acc_[M2],current_acc_[M2],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1],mean_kappa_[M2],current_kappa_[M2]
8599,0.493947,0.370000,0.494737,0.420000,0.494079,0.445000,0.043380,-0.110915,0.000000,0.000000,0.037983,0.028276
8799,0.494103,0.500000,0.494487,0.485000,0.495513,0.550000,0.043745,0.058779,0.000000,0.000000,0.040750,0.147162
8999,0.493625,0.475000,0.491500,0.375000,0.493625,0.420000,0.045582,0.030829,0.000000,0.000000,0.039561,0.014611
9199,0.492927,0.465000,0.492195,0.520000,0.493171,0.475000,0.043155,-0.058829,0.000000,0.000000,0.037468,-0.051577
9399,0.491667,0.440000,0.492738,0.515000,0.493095,0.490000,0.040529,-0.076095,0.000000,0.000000,0.036927,0.006235
9599,0.492093,0.510000,0.492791,0.495000,0.495349,0.590000,0.041513,0.082053,0.000000,0.000000,0.041040,0.215161
9799,0.491250,0.455000,0.492614,0.485000,0.496023,0.525000,0.040052,-0.024821,0.000000,0.000000,0.042282,0.096958
9999,0.492556,0.550000,0.494667,0.585000,0.498222,0.595000,0.041076,0.012725,0.000000,0.000000,0.044996,0.158529
10199,0.494022,0.560000,0.496739,0.590000,0.500326,0.595000,0.041858,0.025740,0.000000,0.000000,0.046918,0.118607
10399,0.494574,0.520000,0.497447,0.530000,0.501702,0.565000,0.042020,0.040000,0.000000,0.000000,0.048665,0.126857
10599,0.493542,0.445000,0.497604,0.505000,0.502188,0.525000,0.039823,-0.064748,0.000000,0.000000,0.049070,0.068719
10799,0.493367,0.485000,0.496224,0.430000,0.501327,0.460000,0.040693,0.074615,0.000000,0.000000,0.048738,0.035456
10999,0.493700,0.510000,0.495300,0.450000,0.500800,0.475000,0.042577,0.104450,0.000000,0.000000,0.048678,0.042626
11199,0.494412,0.530000,0.496078,0.535000,0.502059,0.565000,0.043326,0.067460,0.000000,0.000000,0.050552,0.147059
11399,0.495673,0.560000,0.497404,0.565000,0.503365,0.570000,0.045039,0.087988,0.000000,0.000000,0.052181,0.122807
11599,0.496226,0.525000,0.497925,0.525000,0.503302,0.500000,0.045555,0.053030,0.000000,0.000000,0.051669,0.016909
11799,0.495093,0.435000,0.496481,0.420000,0.502315,0.450000,0.045053,-0.009289,0.000000,0.000000,0.051112,0.036440
11999,0.495182,0.500000,0.496727,0.510000,0.503000,0.540000,0.044965,0.039939,0.000000,0.000000,0.051765,0.088567
12199,0.496607,0.575000,0.497679,0.550000,0.503125,0.510000,0.046935,0.129098,0.000000,0.000000,0.051371,0.024390
12399,0.496053,0.465000,0.496930,0.455000,0.502895,0.490000,0.045846,-0.003376,0.000000,0.000000,0.051211,0.044228
12599,0.496293,0.510000,0.497241,0.515000,0.503621,0.545000,0.046256,0.071178,0.000000,0.000000,0.052271,0.108368
12799,0.496017,0.480000,0.497203,0.495000,0.503136,0.475000,0.045754,0.016502,0.000000,0.000000,0.051314,-0.004064
12999,0.496250,0.510000,0.497583,0.520000,0.503583,0.530000,0.046110,0.070914,0.000000,0.000000,0.051859,0.082748
13199,0.496885,0.535000,0.498770,0.570000,0.504590,0.565000,0.046013,0.006251,0.000000,0.000000,0.052274,0.045843
13399,0.496855,0.495000,0.498871,0.505000,0.505484,0.560000,0.045505,0.015019,0.000000,0.000000,0.053465,0.131122
13599,0.497302,0.525000,0.499365,0.530000,0.505794,0.525000,0.045780,0.060615,0.000000,0.000000,0.053367,0.042097
13799,0.497812,0.530000,0.499141,0.485000,0.506016,0.520000,0.046832,0.113333,0.000000,0.000000,0.053838,0.086323
13999,0.498538,0.545000,0.499462,0.520000,0.506769,0.555000,0.047671,0.099010,0.000000,0.000000,0.054633,0.101917
14199,0.498258,0.480000,0.499015,0.470000,0.506818,0.510000,0.047892,0.053513,0.000000,0.000000,0.055258,0.094605
14399,0.498433,0.510000,0.499627,0.540000,0.507313,0.540000,0.047730,0.029703,0.000000,0.000000,0.055521,0.062659
14599,0.497132,0.410000,0.499118,0.465000,0.507132,0.495000,0.045492,-0.111111,0.000000,0.000000,0.055380,0.051732
14799,0.497391,0.515000,0.499928,0.555000,0.507464,0.530000,0.045483,0.029223,0.000000,0.000000,0.055431,0.057408
14999,0.498643,0.585000,0.500429,0.535000,0.507929,0.540000,0.047312,0.177566,0.000000,0.000000,0.055546,0.055829
15199,0.500000,0.595000,0.501690,0.590000,0.509085,0.590000,0.048348,0.063746,0.000000,0.000000,0.056361,0.105536
15399,0.499167,0.440000,0.500833,0.440000,0.508819,0.490000,0.047928,0.020808,0.000000,0.000000,0.056923,0.099974
15599,0.498767,0.470000,0.501096,0.520000,0.509178,0.535000,0.046885,-0.030878,0.000000,0.000000,0.057192,0.073797
15799,0.498716,0.495000,0.500676,0.470000,0.508784,0.480000,0.047037,0.056648,0.000000,0.000000,0.056658,0.024939
15999,0.498200,0.460000,0.500333,0.475000,0.508867,0.515000,0.046149,-0.032801,0.000000,0.000000,0.056672,0.074781
16199,0.498355,0.510000,0.500921,0.545000,0.509342,0.545000,0.046253,0.060403,0.000000,0.000000,0.057178,0.097222
16399,0.497338,0.420000,0.500584,0.475000,0.508377,0.435000,0.044501,-0.079823,0.000000,0.000000,0.055517,-0.061631
16599,0.497308,0.495000,0.500833,0.520000,0.508910,0.550000,0.044493,0.038095,0.000000,0.000000,0.056395,0.113737
16799,0.497785,0.535000,0.501013,0.515000,0.509747,0.575000,0.045171,0.089663,0.000000,0.000000,0.057837,0.167972
16999,0.498000,0.515000,0.500687,0.475000,0.509500,0.490000,0.045695,0.089629,0.000000,0.000000,0.057425,0.035917
17199,0.498086,0.505000,0.500679,0.500000,0.509506,0.510000,0.045790,0.051224,0.000000,0.000000,0.057226,0.043156
17399,0.498720,0.550000,0.500305,0.470000,0.509634,0.520000,0.047361,0.161387,0.000000,0.000000,0.057648,0.099310
17599,0.498614,0.490000,0.500663,0.530000,0.510422,0.575000,0.046978,0.016488,0.000000,0.000000,0.058668,0.137494
17799,0.498988,0.530000,0.500476,0.485000,0.510119,0.485000,0.047806,0.113542,0.000000,0.000000,0.058095,0.015296
17999,0.498235,0.435000,0.499588,0.425000,0.509824,0.485000,0.047378,-0.012182,0.000000,0.000000,0.058388,0.093310
18199,0.498023,0.480000,0.499360,0.480000,0.509360,0.470000,0.047144,0.028174,0.000000,0.000000,0.057649,-0.001039
18399,0.497701,0.470000,0.499770,0.535000,0.509770,0.545000,0.046272,-0.026535,0.000000,0.000000,0.057969,0.082754
18599,0.497159,0.450000,0.499716,0.495000,0.509773,0.510000,0.045204,-0.050220,0.000000,0.000000,0.058073,0.066622
18799,0.497247,0.505000,0.499944,0.520000,0.510169,0.545000,0.044957,0.021594,0.000000,0.000000,0.058392,0.086850
18999,0.496611,0.440000,0.499389,0.450000,0.509056,0.410000,0.044290,-0.021991,0.000000,0.000000,0.056652,-0.074192
19199,0.496099,0.450000,0.499176,0.480000,0.508846,0.490000,0.043641,-0.013825,0.000000,0.000000,0.056529,0.046194
19399,0.496087,0.495000,0.499402,0.520000,0.509022,0.525000,0.043256,-0.001587,0.000000,0.000000,0.056580,0.058940
19599,0.496613,0.545000,0.499839,0.540000,0.509624,0.565000,0.043678,0.067623,0.000000,0.000000,0.057191,0.109883
19799,0.496755,0.510000,0.499628,0.480000,0.509362,0.485000,0.044020,0.071442,0.000000,0.000000,0.056746,0.018487
19999,0.496474,0.470000,0.499421,0.480000,0.509105,0.485000,0.044037,0.045174,0.000000,0.000000,0.056565,0.040075
